Date,Open,High,Low,Close,Volume
13-Dec-10,597.12,603.00,594.09,594.62,2403442
10-Dec-10,593.14,593.99,590.29,592.21,1705121
9-Dec-10,593.88,595.58,589.00,591.50,1868972
8-Dec-10,591.97,592.52,583.69,590.54,1757126
7-Dec-10,591.27,593.00,586.00,587.14,3047879
6-Dec-10,580.57,582.00,576.61,578.36,2095525
3-Dec-10,569.45,576.48,568.00,573.00,2633126
2-Dec-10,568.66,573.33,565.35,571.82,2550572
1-Dec-10,563.00,571.57,562.40,564.35,3757609
30-Nov-10,574.32,574.32,553.31,555.71,7117385
29-Nov-10,589.17,589.80,579.95,582.11,2859953
26-Nov-10,590.46,592.98,587.00,590.00,1311038
24-Nov-10,594.97,594.97,594.97,594.97,0
23-Nov-10,587.01,589.01,578.20,583.01,2166947
22-Nov-10,587.47,593.44,582.75,591.22,2186511
19-Nov-10,597.00,597.89,590.34,590.83,2298978
18-Nov-10,589.00,599.98,588.56,596.56,2590876
17-Nov-10,585.00,589.50,581.37,583.55,2442412
16-Nov-10,592.76,597.89,583.45,583.72,3308665
15-Nov-10,603.08,604.00,594.05,595.47,3480120
12-Nov-10,613.99,616.90,601.21,603.29,3395209
11-Nov-10,619.70,619.85,614.21,617.19,2262019
10-Nov-10,622.08,623.00,617.51,622.88,2499828
9-Nov-10,630.00,630.85,620.51,624.82,2240293
8-Nov-10,625.12,629.49,623.13,626.77,2102262
5-Nov-10,623.18,625.49,621.11,625.08,1766546
4-Nov-10,624.64,629.92,622.10,624.27,3571173
3-Nov-10,617.50,621.83,613.50,620.18,3382183
2-Nov-10,618.67,620.00,614.58,615.60,1999774
1-Nov-10,615.73,620.66,611.21,615.00,3088417
29-Oct-10,617.07,619.00,612.99,613.70,2281279
28-Oct-10,620.05,621.00,613.30,618.58,2187396
27-Oct-10,615.77,620.00,612.33,616.47,2242414
26-Oct-10,613.10,621.23,611.03,618.60,2513633
25-Oct-10,615.59,624.74,614.97,616.50,3158700
22-Oct-10,611.92,614.82,610.05,612.53,2256598
21-Oct-10,611.51,616.00,606.00,611.99,2923627
20-Oct-10,608.14,617.38,607.50,607.98,3526976
19-Oct-10,608.85,614.82,602.86,607.83,4591178
18-Oct-10,600.55,619.69,600.55,617.71,7109313
15-Oct-10,599.27,601.64,591.60,601.45,14824722
14-Oct-10,544.18,545.25,537.11,540.93,6634018
13-Oct-10,547.00,547.49,542.33,543.30,3060836
12-Oct-10,540.12,545.99,537.79,541.39,3757178
11-Oct-10,538.48,544.60,537.17,538.84,2631310
8-Oct-10,532.77,537.60,527.62,536.35,2863473
7-Oct-10,536.21,537.20,529.14,530.01,2398910
6-Oct-10,539.26,539.95,529.94,534.35,2766690
5-Oct-10,528.38,540.00,526.55,538.23,3507302
4-Oct-10,524.95,528.25,518.85,522.35,1940494
1-Oct-10,530.00,530.62,523.00,525.62,2226112
30-Sep-10,529.16,531.87,518.92,525.79,3244626
29-Sep-10,527.85,532.94,524.71,527.69,2173878
28-Sep-10,533.48,533.59,518.45,527.17,3654832
27-Sep-10,528.85,536.85,528.85,530.41,3107622
24-Sep-10,521.74,527.83,518.26,527.29,3363247
23-Sep-10,514.61,519.69,511.30,513.48,2317644
22-Sep-10,512.86,517.78,511.68,516.00,2537779
21-Sep-10,509.68,519.98,508.91,513.46,4467227
20-Sep-10,492.50,510.41,492.06,508.28,4413416
17-Sep-10,483.75,491.20,481.18,490.15,5649448
16-Sep-10,479.95,482.45,479.41,481.06,1972569
15-Sep-10,479.95,481.89,478.50,480.64,2403545
14-Sep-10,482.01,484.75,480.08,480.43,2218739
13-Sep-10,480.90,484.35,479.53,482.27,2245650
10-Sep-10,479.02,479.79,475.08,476.14,1974340
9-Sep-10,477.83,480.40,470.58,476.18,2435299
8-Sep-10,465.19,472.50,464.51,470.58,2409028
7-Sep-10,464.50,467.59,463.02,464.40,1711335
6-Sep-10,470.30,470.30,470.30,470.30,0
3-Sep-10,470.30,470.30,470.30,470.30,0
2-Sep-10,462.84,464.43,460.31,463.18,1685384
1-Sep-10,454.98,464.94,452.50,460.34,3237824
31-Aug-10,450.11,454.87,448.00,450.02,1946998
30-Aug-10,459.15,459.76,452.42,452.69,1236219
27-Aug-10,452.56,459.99,448.31,458.83,2313147
26-Aug-10,456.06,457.26,450.44,450.98,1781767
25-Aug-10,450.00,457.81,450.00,454.62,2592104
24-Aug-10,457.70,457.70,450.92,451.39,2763814
23-Aug-10,461.50,468.25,457.73,464.07,2989159
20-Aug-10,467.97,471.59,462.18,462.02,3923319
19-Aug-10,481.01,482.51,467.25,467.97,3925513
18-Aug-10,490.44,490.44,481.55,482.15,2686374
17-Aug-10,488.53,494.70,486.10,490.52,1890646
16-Aug-10,483.68,489.87,483.68,485.59,1306685
13-Aug-10,489.00,491.19,486.01,486.35,1940047
12-Aug-10,483.94,494.75,483.94,492.01,2205032
11-Aug-10,497.73,498.00,491.50,491.74,2226003
10-Aug-10,502.35,506.00,498.57,503.71,2075569
9-Aug-10,502.25,505.50,501.36,505.35,1873209
6-Aug-10,505.40,505.74,496.05,500.22,3321695
5-Aug-10,505.89,508.60,503.56,508.10,2426460
4-Aug-10,492.18,507.00,491.05,506.32,3814120
3-Aug-10,490.50,492.46,486.76,489.83,1803185
2-Aug-10,488.99,493.28,486.94,490.41,1867475
30-Jul-10,479.65,487.36,479.14,484.85,2144492
29-Jul-10,485.95,488.88,479.33,484.99,2675420
28-Jul-10,494.94,495.25,482.67,484.35,2502447
27-Jul-10,490.58,497.50,490.17,492.63,2451984
26-Jul-10,489.09,490.75,484.88,488.97,1996691
23-Jul-10,480.77,490.59,480.01,490.06,2267180
22-Jul-10,483.23,488.98,482.48,484.81,2148487
21-Jul-10,484.00,485.70,475.43,477.50,3285364
20-Jul-10,461.03,482.99,460.60,481.59,4056832
19-Jul-10,461.01,469.65,457.52,466.18,4549465
16-Jul-10,469.12,470.56,459.52,459.60,7824721
15-Jul-10,491.73,494.70,482.68,494.02,4858782
14-Jul-10,489.88,493.83,486.46,491.34,3118534
13-Jul-10,482.25,492.99,480.28,489.20,3976281
12-Jul-10,472.37,479.44,471.08,475.83,3334411
9-Jul-10,471.96,473.26,462.78,467.49,4332702
8-Jul-10,453.55,457.33,449.66,456.56,2670490
7-Jul-10,438.31,451.29,435.38,450.20,3131936
6-Jul-10,444.00,447.67,433.63,436.07,2561426
5-Jul-10,436.55,436.55,436.55,436.55,0
2-Jul-10,436.55,436.55,436.55,436.55,0
1-Jul-10,445.29,448.40,433.63,439.49,3513877
30-Jun-10,454.96,457.83,444.72,444.95,3603698
29-Jun-10,463.44,464.55,451.12,454.26,3502108
28-Jun-10,472.59,477.55,469.01,472.08,1762594
25-Jun-10,477.06,477.65,470.56,472.68,2245289
24-Jun-10,479.66,482.75,473.26,475.10,1893761
23-Jun-10,486.89,486.89,478.16,482.05,2029650
22-Jun-10,489.90,496.60,485.73,486.25,2219930
21-Jun-10,499.90,500.97,484.89,488.56,2989344
